name,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,numberOfVersionsUntil,numberOfFixesUntil,numberOfRefactoringsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,bug
org.eclipse.jdt.internal.core.search.indexing.IndexBinaryFolder,9,2,1,9,15,0,1,8,122.0,6.0,19,0,0,1.0,5,34.0,20.0,65,4,0,8,608.0,158.0,9.35385,566.0,158.0,8.70769,42.0,15.0,0.646154,350.571,63.0609,0
org.eclipse.jdt.internal.compiler.codegen.CachedIndexEntry,1,1,1,0,0,0,2,0,4.0,1.0,8,0,0,2.0,1,1.0,1.0,2,0,0,2,10.0,10.0,5.0,0.0,0.0,0.0,10.0,10.0,5.0,117.714,0,0
org.eclipse.jdt.internal.compiler.ast.ASTNode,114,1,102,18,190,6,131,249,484.0,20.0,8,0,1,3.0,19,156.0,176.0,120,10,0,12,1361.0,99.0,11.3417,768.0,77.0,6.4,593.0,66.0,4.94167,238.429,104.204,1
org.eclipse.jdt.internal.compiler.lookup.MemberTypeBinding,5,6,1,4,10,0,0,61,33.0,5.0,207,0,0,0.0,4,18.0,12.0,28,4,0,5,138.0,39.0,4.92857,123.0,39.0,4.39286,15.0,23.0,0.535714,367.0,112.678,0
org.eclipse.jdt.internal.eval.CodeSnippetParser,23,2,1,22,820,0,7,416,673.0,41.0,8,0,2,7.0,1,174.0,115.0,93,17,0,8,1870.0,684.0,20.1075,1881.0,692.0,20.2258,-11.0,18.0,-0.11828,367.0,54.9702,0
org.eclipse.jdt.internal.formatter.Location,2,1,1,1,1,0,12,0,16.0,2.0,8,0,0,12.0,2,4.0,2.0,16,5,0,5,37.0,6.0,2.3125,17.0,6.0,1.0625,20.0,4.0,1.25,264.857,48.8224,0
org.eclipse.jdt.core.dom.SingleMemberAnnotation,6,4,2,4,78,0,4,96,87.0,13.0,88,2,0,0.0,3,46.0,23.0,30,5,0,5,535.0,142.0,17.8333,74.0,13.0,2.46667,461.0,142.0,15.3667,226.0,3.2259,0
org.eclipse.jdt.internal.compiler.parser.NLSTag,2,1,2,0,1,0,4,0,9.0,2.0,8,0,0,4.0,2,2.0,2.0,7,6,0,2,14.0,7.0,2.0,29.0,27.0,4.14286,-15.0,4.0,-2.14286,150.714,12.1531,0
org.eclipse.jdt.internal.compiler.parser.RecoveredBlock,11,3,2,9,105,0,9,119,250.0,15.0,40,0,0,9.0,13,50.0,64.0,52,5,0,7,1075.0,343.0,20.6731,889.0,343.0,17.0962,186.0,68.0,3.57692,367.0,81.1875,0
org.eclipse.jdt.internal.core.CompilationUnitElementInfo,4,3,3,1,6,1,3,3,9.0,4.0,17,0,0,1.0,3,5.0,3.0,23,5,0,6,122.0,42.0,5.30435,138.0,42.0,6.0,-16.0,16.0,-0.695652,367.0,84.4309,0
org.eclipse.jdt.core.dom.MemberRef,6,2,3,4,105,0,5,95,95.0,15.0,68,3,0,0.0,6,51.0,25.0,25,8,0,5,228.0,82.0,9.12,61.0,8.0,2.44,167.0,74.0,6.68,229.714,10.4781,0
org.eclipse.jdt.internal.core.util.Annotation,8,2,4,4,15,0,6,0,42.0,6.0,23,6,0,0.0,5,14.0,10.0,11,4,0,3,193.0,81.0,17.5455,12.0,4.0,1.09091,181.0,81.0,16.4545,222.857,13.1984,0
