com.vividsolutions.jump.coordsys.Projection,com.vividsolutions.jump.coordsys
com.vividsolutions.jump.datastore.spatialdatabases.AbstractSpatialDatabasesDSDriver,com.vividsolutions.jump.datastore.spatialdatabases
com.vividsolutions.jump.datastore.spatialdatabases.AbstractSpatialDatabasesDSExtension,com.vividsolutions.jump.datastore.spatialdatabases
com.vividsolutions.jump.workbench.WorkbenchContext,com.vividsolutions.jump.workbench
com.vividsolutions.jump.workbench.plugin.Extension,com.vividsolutions.jump.workbench.plugin
com.vividsolutions.jump.io.BaseFeatureInputStream,com.vividsolutions.jump.io
com.vividsolutions.jump.feature.AbstractBasicFeature,com.vividsolutions.jump.feature
com.vividsolutions.jump.feature.FeatureCollectionWrapper,com.vividsolutions.jump.feature
com.vividsolutions.jump.io.AbstractJUMPReader,com.vividsolutions.jump.io
com.vividsolutions.jump.io.datasource.DataSource,com.vividsolutions.jump.io.datasource
com.vividsolutions.jump.io.datasource.StandardReaderWriterFileDataSource,com.vividsolutions.jump.io.datasource
com.vividsolutions.jump.util.Block,com.vividsolutions.jump.util
org.openjump.core.ui.plugin.AbstractThreadedUiPlugIn,org.openjump.core.ui.plugin
com.vividsolutions.jump.plugin.edit.TransRotScaleBuilder,com.vividsolutions.jump.plugin.edit
com.vividsolutions.jump.workbench.model.AbstractLayerable,com.vividsolutions.jump.workbench.model
com.vividsolutions.jump.workbench.ui.AbstractMultiInputDialog,com.vividsolutions.jump.workbench.ui
com.vividsolutions.jump.workbench.model.UndoableCommand,com.vividsolutions.jump.workbench.model
com.vividsolutions.jump.workbench.ui.AbstractSelection,com.vividsolutions.jump.workbench.ui
com.vividsolutions.jump.workbench.plugin.ThreadedBasePlugIn,com.vividsolutions.jump.workbench.plugin
com.vividsolutions.jump.workbench.ui.renderer.style.VertexStyle,com.vividsolutions.jump.workbench.ui.renderer.style
com.vividsolutions.jump.util.CollectionWrapper,com.vividsolutions.jump.util
com.vividsolutions.jump.util.ListWrapper,com.vividsolutions.jump.util
com.vividsolutions.jump.util.SimpleTreeModel,com.vividsolutions.jump.util
com.vividsolutions.jump.util.SimpleTreeModel.Folder,com.vividsolutions.jump.util,***
com.vividsolutions.jump.warp.CoordinateTransform,com.vividsolutions.jump.warp
com.vividsolutions.jump.workbench.datasource.AbstractLoadDatasetPlugIn,com.vividsolutions.jump.workbench.datasource
com.vividsolutions.jump.workbench.datasource.AbstractLoadSaveDatasetPlugIn,com.vividsolutions.jump.workbench.datasource
com.vividsolutions.jump.workbench.datasource.AbstractSaveDatasetAsPlugIn,com.vividsolutions.jump.workbench.datasource
com.vividsolutions.jump.workbench.datasource.FileDataSourceQueryChooser,com.vividsolutions.jump.workbench.datasource
com.vividsolutions.jump.workbench.plugin.AbstractPlugIn,com.vividsolutions.jump.workbench.plugin
