name,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,numberOfVersionsUntil,numberOfFixesUntil,numberOfRefactoringsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,bug
org.apache.lucene.search.spans.SpanOrQuery,17,3,10,7,55,0,2,0,170.0,11.0,44,2,0,0.0,11,59.0,29.0,12,1,0,6,12,1,1.0,12,1,1.0,0,0,0.0,244.714,95.4643,1
org.apache.lucene.index.DocumentsWriter,34,1,9,27,2415,0,60,0,829.0,70.0,9,25,11,19.0,0,263.0,177.0,49,9,1,3,2311.0,644.0,47.1633,3683.0,2030.0,75.1633,-1372.0,218.0,-28.0,66.0,35.1323,1
org.apache.lucene.document.Document,179,1,174,5,120,0,6,0,138.0,16.0,18,5,0,1.0,16,99.0,46.0,32,4,0,10,424.0,58.0,13.25,238.0,51.0,7.4375,186.0,51.0,5.8125,368.143,168.949,0
org.apache.lucene.search.highlight.SimpleSpanFragmenter,5,1,1,4,3,0,7,0,40.0,3.0,11,7,0,0.0,3,12.0,10.0,2,0,0,2,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,23.1429,8.07143,0
org.apache.lucene.ant.FileExtensionDocumentHandler,5,1,0,5,0,0,0,0,19.0,1.0,10,0,0,0.0,1,7.0,3.0,2,1,0,1,2,1,1.0,2,1,1.0,0,0,0.0,325.857,39.7857,0
org.apache.lucene.analysis.Token,128,1,122,6,465,0,11,0,240.0,31.0,18,3,4,7.0,27,72.0,66.0,24,4,0,9,999.0,468.0,41.625,251.0,69.0,10.4583,748.0,420.0,31.1667,368.143,314.776,0
org.apache.lucene.search.FieldDoc,0,2,0,0,0,0,1,2,4.0,1.0,19,0,0,1.0,1,1.0,1.0,7,0,0,4,30.0,20.0,4.28571,19.0,9.0,2.71429,11.0,11.0,1.57143,242.143,32.4762,0
org.tartarus.snowball.ext.DanishStemmer,1,2,0,1,21,0,8,6,345.0,7.0,35,8,6,0.0,1,32.0,51.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,6.57143,0,0
org.apache.lucene.search.SortField,6,1,4,2,21,0,18,0,44.0,7.0,18,4,0,1.0,7,20.0,13.0,14,2,0,7,134.0,36.0,9.57143,22.0,5.0,1.57143,112.0,33.0,8.0,242.143,50.0437,1
org.apache.lucene.document.AbstractField,16,2,13,3,231,3,16,0,182.0,22.0,41,0,0,0.0,20,57.0,60.0,6,1,0,3,349.0,274.0,58.1667,283.0,274.0,47.1667,66.0,38.0,11.0,121.571,103.953,0
org.apache.lucene.benchmark.byTask.utils.Config,23,1,14,9,66,0,6,0,182.0,12.0,9,6,4,0.0,8,120.0,37.0,10,0,0,4,422.0,324.0,42.2,342.0,324.0,34.2,80.0,49.0,8.0,90.5714,15.8812,0
org.apache.lucene.benchmark.quality.utils.DocNameExtractor,5,1,2,3,1,0,2,0,13.0,2.0,9,2,0,0.0,2,5.0,3.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,62.7143,0,0
org.apache.lucene.analysis.cjk.CJKAnalyzer,2,2,0,2,1,0,2,0,6.0,2.0,15,1,0,0.0,2,5.0,2.0,5,0,0,3,5,1,1.0,5,1,1.0,0,0,0.0,250.143,13.9429,0
org.apache.lucene.search.HitIterator,4,1,2,3,10,0,2,0,20.0,5.0,9,2,0,0.0,4,11.0,6.0,6,1,0,4,14.0,6.0,2.33333,13.0,6.0,2.16667,1.0,2.0,0.166667,180.143,57.3265,0
org.apache.lucene.misc.HighFreqTerms,8,1,0,8,1,0,1,0,40.0,2.0,9,0,1,0.0,1,26.0,9.0,3,1,0,2,3,1,1.0,3,1,1.0,0,0,0.0,307.429,40.4286,0
